priority,field,中文名称,table_name,type,unit,frequency_recommendation,用途,质量要求,可能来源,是否已从NASA获得,备注
必须,battery_id,脱敏电池包唯一ID,telemetry,string,无,每条记录,跨周期关联和按电池分组验证,同一物理电池包ID稳定；更换包使用新ID,授权平台或检测系统,仅电芯ID,不要求明文VIN
必须,timestamp,采样时间戳,telemetry,datetime,ISO8601含时区,建议1到10秒；按设备能力记录真实频率,时序对齐及电流积分,必须标时区；单电池时间递增；记录丢包和时钟偏差,授权BMS导出或采集器,实验相对时间及起始时间但无时区,不补造缺失采样
必须,pack_voltage,电池包总电压,telemetry,float,V,与电流同步,功率能量及状态分析,有限数值；量程按车型；无效编码转空值并留标记,授权BMS接口或诊断设备,仅电芯电压,不可把电芯电压当整包电压
必须,pack_current,电池包总电流,telemetry,float,A,与电压同步；积分建议1秒级,Ah吞吐量及充放电状态,记录正负号定义和传感器精度；本模板放电正充电负,授权BMS接口或诊断设备,仅电芯电流且放电负,接入时转换符号并保留原始字段
必须,SOC,荷电状态,telemetry,float,%,建议1到10秒,充放电区间及DOD,0到100；标记估计来源；SOC不是容量真值,授权BMS接口,否,本次SOH基线不依赖SOC
必须,cell_voltage_max,最高单体电压,telemetry,float,V,建议1到10秒,压差和一致性,与最低值同步；max不小于min；区分mV与V,授权BMS接口,否,仅电芯数据无法模拟整包压差
必须,cell_voltage_min,最低单体电压,telemetry,float,V,建议1到10秒,压差和异常筛查,异常编码转空；不能用0替代缺失,授权BMS接口,否,最好附单体位置索引
必须,temperature_max,最高探针温度,telemetry,float,degC,建议1到10秒,热暴露和风险筛查,与最低值同步；注明探针位置和误差,授权BMS接口,否,NASA单点电芯温度不是包最高温度
必须,temperature_min,最低探针温度,telemetry,float,degC,建议1到10秒,温差及工况修正,与最高温度同一批次,授权BMS接口,否,不可据此单独作安全结论
必须,charge_status,充放电状态,telemetry,enum,无,状态变化时并随记录输出,分段和充放电识别,统一charging/discharging/idle/unknown；保留原始编码映射,授权BMS接口,有实验操作类型,车辆行驶状态另列
必须,battery_chemistry,电池化学体系,metadata,string,无,首次及换包时,选择适用模型与工况边界,需厂家或铭牌证据；未知填unknown；不可猜测,铭牌或授权资料,仅知Li-ion未确认细分体系,例如LFP/NMC；本次不宣称确定正极材料
必须,rated_capacity_ah,额定容量,metadata,float,Ah,首次及换包时,SOH基准容量,大于0；注明测试工况；Ah与kWh不得混淆,铭牌或厂家资料,2Ah来自NASA说明,与实测可用容量分开
强烈建议,mileage,累计行驶里程,telemetry,float,km,建议与主记录同步,使用强度和工况,非负；回拨或换仪表须标记；缺失不填0,车辆授权导出,否,实验循环数不等于里程
强烈建议,cell_voltages,全部单体电压,cell_voltages,float,V,建议1到10秒,一致性和局部异常,长表一行一个cell_index；数量与串联拓扑一致,授权BMS接口,否,见cell_voltages_template.csv
强烈建议,temperature_probes,全部温度探针,temperature_probes,float,degC,建议1到10秒,热分布和温度暴露,长表一行一个probe_index；附位置映射,授权BMS接口,仅单点电芯温度,见temperature_probes_template.csv
强烈建议,SOH_BMS,BMS估计健康度,telemetry,float,%,每次检测及变化时,外部参考及模型比较,注明算法版本和容量型或功率型定义；不能直接当独立真值,授权诊断设备或BMS,否,训练时须隔离标签与对照值
强烈建议,insulation_resistance,绝缘电阻,telemetry,float,kOhm,每次检测及报警事件,安全初筛,确认单位与测量状态；阈值由车型及适用测试程序确定,授权诊断设备,否,不据单一数值自动决定继续使用
强烈建议,fault_codes,故障码及报警,events,string,无,事件发生和解除时,异常筛查和报告解释,记录报码时间清除时间当前或历史状态；附厂家字典,授权诊断系统,否,见events_template.csv
强烈建议,measured_capacity_ah,受控测试可用容量,capacity_tests,float,Ah,定期或交易检测按可行性,监督学习SOH真值,记录倍率温度截止电压仪器和测试日期；独立于BMS估计,有条件的实验室或检测机构,有放电容量,真实容量测试可能耗时；不可假称已取得
强烈建议,capacity_test_protocol,容量测试规程,capacity_tests,string,无,每次容量测试,解释标签可比性,记录充放电电流及截止条件；更改规程需分组,检测机构报告,有原始实验说明,不同截止电压带来分布差异
强烈建议,rated_energy_kwh,额定能量,metadata,float,kWh,首次及换包时,能量及碳核算规模,厂家数据；不能用不明平均电压随意将Ah换算为kWh,铭牌或厂家资料,否,碳示例60kWh是独立假设
强烈建议,pack_mass_kg,电池包质量,metadata,float,kg,首次及换包时,运输与退役碳活动量,称重或厂家文件；明确包体边界,铭牌或称重,否,示例400kg不是实测
强烈建议,ambient_temperature,环境温度,telemetry,float,degC,建议10到60秒,工况修正,说明车外温度或试验箱温度,车辆传感器或实验室,有试验环境温度,与电芯温度分开
强烈建议,total_charge_ah,累计充电Ah,telemetry,float,Ah,每次会话或小时,累计使用量,计数起点与重置记录；积分断档标识,授权BMS或按同步电流派生,未直接提供可派生部分,缺数据时不要称完整累计
强烈建议,total_discharge_ah,累计放电Ah,telemetry,float,Ah,每次会话或小时,累计使用量,同累计充电Ah；避免电流符号错误,授权BMS或按同步电流派生,未直接提供可派生部分,全放电积分不得作本次SOH模型预测特征
强烈建议,charge_type,快慢充类型,telemetry,enum,无,会话开始及变化时,快充比例与工况,记录AC/DC和实际功率；快充阈值按额定容量说明,授权充电记录,否,不能仅据单点SOC推断快充
强烈建议,pack_replacement_event,电池更换记录,events,string,无,事件发生时,防止多电池历史混合,记录新旧脱敏ID和更换日期,车主授权维修记录,否,更换后不得沿用同一老化轨迹
可选,cell_voltage_max_index,最高电压单体位置,telemetry,int,无,与极值同步,定位异常单体,索引从1开始或提供映射,授权BMS接口,否,索引映射必须稳定
可选,cell_voltage_min_index,最低电压单体位置,telemetry,int,无,与极值同步,定位异常单体,与串联拓扑校对,授权BMS接口,否,与完整单体表可互校
可选,temperature_max_index,最高温度探针位置,telemetry,int,无,与极值同步,定位热异常,提供探针位置映射,授权BMS接口,否,不推断未经测量的单体温度
